iter	Passed	Remaining
0	142	142475
1	144	71864
2	146	48637
3	147	36763
4	148	29606
5	150	24867
6	152	21570
7	153	19047
8	154	17040
9	155	15433
10	156	14103
11	157	13004
12	159	12092
13	163	11514
14	164	10828
15	166	10253
16	168	9756
17	170	9288
18	172	8889
19	173	8497
20	176	8212
21	177	7895
22	179	7609
23	180	7328
24	182	7103
25	183	6872
26	184	6651
27	185	6442
28	186	6257
29	188	6079
30	191	5997
31	193	5840
32	194	5689
33	195	5550
34	196	5419
35	198	5305
36	199	5197
37	201	5090
38	202	4994
39	205	4926
40	206	4833
41	207	4738
42	208	4645
43	209	4560
44	211	4485
45	212	4409
46	213	4334
47	215	4264
48	216	4199
49	217	4137
50	219	4078
51	221	4030
52	222	3972
53	223	3915
54	225	3868
55	226	3816
56	227	3765
57	228	3714
58	230	3669
59	235	3684
60	236	3638
61	237	3589
62	238	3543
63	239	3501
64	240	3462
65	242	3425
66	243	3386
67	244	3357
68	247	3334
69	248	3303
70	249	3269
71	251	3240
72	252	3206
73	254	3184
74	255	3157
75	257	3125
76	258	3095
77	259	3069
78	261	3052
79	263	3027
80	264	3000
81	265	2971
82	266	2939
83	267	2913
84	268	2890
85	269	2867
86	270	2842
87	271	2818
88	273	2795
89	274	2773
90	276	2757
91	277	2737
92	278	2716
93	279	2696
94	280	2674
95	281	2654
96	283	2635
97	284	2615
98	285	2596
99	286	2577
100	287	2559
101	288	2542
102	290	2529
103	291	2513
104	293	2497
105	294	2480
106	295	2462
107	296	2446
108	297	2431
109	298	2416
110	299	2401
111	301	2386
112	302	2371
113	303	2356
114	304	2346
115	306	2332
116	306	2316
117	308	2303
118	309	2289
119	310	2275
120	311	2262
121	312	2250
122	313	2236
123	314	2222
124	315	2211
125	317	2200
126	318	2188
127	319	2179
128	321	2169
129	322	2158
130	323	2146
131	324	2134
132	325	2122
133	326	2111
134	327	2100
135	329	2091
136	330	2080
137	331	2070
138	332	2059
139	334	2052
140	335	2043
141	336	2032
142	337	2022
143	339	2016
144	340	2006
145	341	1996
146	342	1987
147	343	1977
148	344	1967
149	345	1958
150	346	1950
151	348	1946
152	350	1940
153	351	1933
154	353	1924
155	354	1917
156	355	1909
157	356	1901
158	357	1893
159	359	1885
160	360	1876
161	361	1869
162	362	1862
163	364	1857
164	365	1850
165	366	1843
166	368	1836
167	369	1829
168	370	1822
169	371	1814
170	372	1807
171	374	1800
172	375	1795
173	377	1790
174	378	1786
175	380	1782
176	381	1776
177	383	1769
178	384	1762
179	385	1755
180	386	1749
181	387	1743
182	389	1737
183	390	1731
184	392	1728
185	393	1722
186	395	1717
187	396	1711
188	397	1705
189	398	1699
190	399	1693
191	400	1686
192	402	1681
193	403	1676
194	404	1670
195	405	1664
196	407	1663
197	409	1658
198	410	1651
199	411	1646
200	412	1640
201	413	1634
202	414	1628
203	415	1622
204	417	1618
205	418	1612
206	419	1607
207	422	1607
208	423	1603
209	424	1597
210	425	1592
211	426	1585
212	427	1579
213	428	1573
214	429	1567
215	430	1563
216	431	1558
217	432	1552
218	433	1547
219	435	1544
220	437	1542
221	438	1537
222	439	1532
223	440	1526
224	441	1520
225	442	1515
226	443	1509
227	444	1505
228	445	1501
229	447	1496
230	448	1491
231	449	1487
232	451	1485
233	452	1482
234	453	1477
235	454	1472
236	455	1467
237	456	1462
238	457	1457
239	458	1452
240	459	1448
241	461	1444
242	462	1439
243	463	1435
244	464	1431
245	466	1430
246	468	1426
247	468	1422
248	469	1417
249	470	1412
250	471	1407
251	472	1403
252	473	1399
253	475	1395
254	476	1391
255	477	1387
256	478	1383
257	480	1380
258	481	1377
259	482	1374
260	483	1370
261	484	1365
262	485	1361
263	486	1356
264	487	1353
265	489	1349
266	490	1346
267	491	1342
268	492	1338
269	493	1334
270	495	1332
271	496	1328
272	497	1325
273	498	1322
274	499	1317
275	500	1313
276	501	1309
277	502	1306
278	503	1302
279	505	1298
280	506	1295
281	507	1291
282	508	1288
283	509	1285
284	511	1283
285	513	1281
286	514	1278
287	515	1275
288	516	1271
289	518	1268
290	519	1265
291	520	1261
292	521	1258
293	522	1254
294	524	1252
295	525	1249
296	526	1246
297	527	1242
298	528	1239
299	529	1235
300	530	1231
301	531	1228
302	532	1225
303	533	1222
304	534	1218
305	535	1214
306	536	1211
307	537	1208
308	539	1205
309	540	1203
310	541	1200
311	542	1196
312	543	1192
313	544	1189
314	545	1185
315	546	1182
316	547	1179
317	548	1175
318	549	1172
319	549	1168
320	550	1165
321	551	1161
322	553	1159
323	554	1157
324	556	1154
325	556	1151
326	557	1148
327	558	1144
328	560	1142
329	561	1139
330	562	1136
331	563	1132
332	564	1130
333	565	1126
334	565	1123
335	566	1120
336	568	1117
337	569	1115
338	570	1113
339	571	1110
340	572	1106
341	573	1103
342	574	1100
343	575	1097
344	576	1095
345	577	1092
346	578	1089
347	579	1086
348	580	1083
349	582	1081
350	583	1079
351	585	1077
352	585	1073
353	586	1070
354	587	1068
355	589	1065
356	590	1062
357	591	1060
358	591	1056
359	592	1053
360	593	1050
361	594	1048
362	595	1045
363	596	1042
364	597	1040
365	599	1037
366	600	1035
367	601	1032
368	602	1029
369	603	1026
370	603	1023
371	604	1020
372	605	1018
373	606	1015
374	607	1012
375	608	1009
376	608	1006
377	610	1003
378	611	1001
379	612	999
380	613	997
381	614	994
382	615	991
383	616	988
384	617	985
385	618	983
386	619	980
387	619	977
388	620	975
389	621	972
390	622	969
391	623	966
392	624	964
393	625	961
394	626	959
395	627	957
396	628	954
397	629	952
398	630	949
399	631	946
400	632	944
401	632	941
402	633	938
403	634	936
404	635	933
405	636	930
406	637	928
407	637	925
408	638	922
409	639	920
410	640	917
411	641	915
412	643	914
413	644	911
414	644	909
415	645	906
416	646	904
417	647	901
418	648	898
419	649	896
420	649	893
421	650	891
422	651	888
423	652	886
424	653	883
425	653	880
426	654	878
427	655	876
428	657	875
429	658	873
430	659	871
431	660	868
432	661	866
433	662	864
434	663	861
435	664	859
436	665	856
437	666	854
438	666	852
439	667	849
440	668	847
441	669	844
442	670	842
443	671	840
444	672	838
445	673	836
446	674	834
447	675	831
448	675	829
449	676	826
450	677	824
451	678	822
452	678	819
453	679	817
454	680	815
455	681	812
456	682	810
457	683	808
458	684	806
459	684	804
460	686	802
461	687	800
462	688	798
463	689	796
464	689	793
465	690	791
466	691	789
467	692	787
468	693	784
469	694	782
470	694	780
471	695	778
472	696	776
473	697	773
474	698	771
475	699	769
476	699	767
477	701	765
478	702	763
479	702	761
480	703	759
481	704	757
482	705	755
483	706	752
484	707	750
485	707	748
486	708	746
487	709	744
488	710	742
489	711	740
490	712	738
491	713	736
492	714	734
493	715	732
494	716	731
495	717	729
496	718	727
497	719	724
498	720	722
499	720	720
500	721	718
501	722	716
502	723	714
503	724	712
504	724	710
505	725	708
506	726	706
507	727	704
508	728	702
509	728	700
510	730	699
511	731	697
512	733	696
513	734	694
514	735	692
515	736	690
516	737	688
517	738	686
518	738	684
519	739	682
520	740	681
521	741	679
522	742	677
523	743	675
524	744	673
525	745	671
526	746	669
527	746	667
528	747	665
529	748	663
530	749	661
531	750	659
532	750	658
533	751	656
534	752	654
535	753	652
536	754	650
537	755	648
538	756	646
539	756	644
540	757	642
541	758	641
542	759	639
543	761	638
544	762	636
545	763	635
546	764	633
547	765	631
548	766	629
549	767	627
550	768	625
551	768	624
552	769	622
553	770	620
554	771	618
555	772	616
556	772	614
557	774	613
558	775	611
559	776	609
560	777	608
561	777	606
562	778	604
563	779	602
564	780	600
565	781	598
566	781	597
567	782	595
568	783	593
569	784	591
570	785	589
571	785	588
572	786	586
573	787	584
574	788	582
575	790	581
576	791	579
577	791	578
578	792	576
579	793	574
580	794	572
581	795	571
582	795	569
583	796	567
584	797	565
585	798	563
586	799	562
587	799	560
588	800	558
589	801	556
590	802	555
591	803	553
592	804	552
593	805	550
594	806	548
595	807	547
596	808	545
597	808	543
598	809	541
599	810	540
600	811	538
601	811	536
602	812	535
603	813	533
604	814	531
605	815	529
606	815	528
607	816	526
608	817	524
609	818	523
610	819	521
611	820	520
612	821	518
613	822	516
614	823	515
615	823	513
616	824	512
617	825	510
618	826	508
619	827	507
620	828	505
621	828	503
622	829	502
623	830	500
624	831	498
625	832	497
626	832	495
627	834	494
628	835	492
629	836	491
630	836	489
631	837	487
632	838	486
633	839	484
634	840	482
635	840	481
636	841	479
637	842	478
638	843	476
639	844	474
640	844	473
641	845	471
642	846	469
643	847	468
644	848	466
645	849	465
646	850	463
647	851	462
648	851	460
649	852	459
650	853	457
651	854	456
652	855	454
653	856	452
654	856	451
655	857	449
656	858	448
657	859	446
658	859	444
659	860	443
660	861	441
661	862	440
662	863	438
663	864	437
664	865	435
665	866	434
666	867	433
667	868	431
668	869	430
669	870	428
670	871	427
671	872	425
672	873	424
673	873	422
674	874	421
675	875	419
676	876	417
677	876	416
678	878	415
679	879	413
680	880	412
681	881	410
682	881	409
683	882	407
684	883	406
685	884	404
686	884	403
687	885	401
688	886	400
689	887	398
690	887	397
691	888	395
692	889	394
693	890	392
694	890	391
695	891	389
696	893	388
