iter	Passed	Remaining
0	0	85
1	1	78
2	2	75
3	2	70
4	3	68
5	4	67
6	4	65
7	5	64
8	6	63
9	7	63
10	7	62
11	8	61
12	9	61
13	9	60
14	10	59
15	11	59
16	11	58
17	12	57
18	13	56
19	14	56
20	14	55
21	15	54
22	16	53
23	16	52
24	17	51
25	18	51
26	18	50
27	19	49
28	19	48
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	24
65	45	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
